TITLE,GENRE
The Medicine of the People,niche history
The Tale of the Axe,niche history
In Praise of Paths,niche history
Random Acts of Politeness,niche history
A Short History of the World According to Sheep,niche history
Walls,niche history
Boredom: The Literary History of a State of Mind,niche history
Paper: Paging Through History,niche history
Time and the Art of Living,niche history
Spirals in Time: The Secret Life and Curious Afterlife of Seashells,niche history
Amber: The Natural Time Capsule,niche history
"The Address Book: What Street Addresses Reveal about Identity, Race, Wealth and Power",niche history
"Shady Characters – The Secret Life of Punctuation, Symbols, and Other Typographical Marks",niche history
BRILLIANT: The Evolution of Artificial Light,niche history
The Book Of Nothing,niche history
The Pencil: A History of Design and Circumstance,niche history
Camouflage: A History of Concealment and Deception in War,niche history
Glass: A World History,niche history
Threads of Life: A History of the World Through the Eye of a Needle,niche history
THE GUN: The AK-47 and the Evolution of War,niche history
The Devil's Cup: A History of the World According to Coffee,niche history
The Golden Thread: How Fabric Changed History,niche history
Gray Matters: A Biography of Brain Surgery,niche history
The Haunted Wood: A History of Childhood Reading,niche history
Inside the Stargazer’s Palace: The Transformation of Science in 16th-Century Northern Europe,niche history
"A Perfect Harmony: Music, Mathematics and Science",niche history
White Light: The Essential Element that Changed the World,niche history
Who Owns the Moon? In Defence of Humanity’s Common Interests in Space,niche history
Most Delicious Poison: From Spices to Vices – The Story of Nature’s Toxins,niche history
Mapping the Darkness: The Visionary Scientists Who Unlocked the Mysteries of Sleep,niche history
What Are Children For? On Ambivalence and Choice,niche history
Black Ops and Beaver Bombing: Adventures with Britain's Wild Mammals,niche history
Sleeping Beauties: The Mystery of Dormant Innovations in Nature and Culture,niche history
How Not to Kill Yourself: Portrait of a Suicidal Mind,niche history
"Life as We Made It: How 50,000 Years of Human Innovation Refined – and Redefined – Nature",niche history
"The Longest Story: How Humans Have Loved, Hated and Misunderstood Other Species",niche history
"Salmon: A Fish, the Earth, and the History of a Common Fate",niche history
By Any Other Name: A Cultural History of the Rose,niche history
Footnotes: A Journey Round Britain in the Company of Great Writers,niche history
Sounds and Sweet Airs: The Forgotten Women of Classical Music,niche history
Young Elizabeth: Princess. Prisoner. Queen.,British History
Beyond The Empire: A Guide To Roman Scotland,British History
A History of Britain in Ten Enemies,British History
Eighteen: A History of Britain in 18 Young Lives,British History
The Old Stones: A Field Guide to the Megalithic Sites of Britain and Ireland,British History
"Rivals in the Storm: How Lloyd George Seized Power, Won the War and Lost his Government",British History
Prehistoric Rock Art in Britain: Sermons in Stone,British History
Born to Rule: The Making and Remaking of the British Elite,British History
Kings and Queens: 1200 Years of English and British Monarchs,British History
Roman Britain: A New History,British History
Hollow Places: An Unusual History of Land and Legend,British History
The British Palaeolithic: Human Societies at the Edge of the Pleistocene World,British History
The Neolithic of Britain and Ireland,British History
"Formative Britain: An Archaeology of Britain, Fifth to Eleventh Century AD",British History
"Crypt: Life, Death and Disease in the Middle Ages and Beyond",British History
Lost Realms: Histories of Britain from the Romans to the Vikings,British History
Forgotten Churches: Exploring England's Hidden Treasures,British History
Women of Power in Anglo-Saxon England,British History
Wild: Tales from Early Medieval Britain,British History
"The Private Lives of the Saints: Power, Passion and Politics in Anglo-Saxon England",British History
Ancestors: A prehistory of Britain in seven burials,British History
Steeple Chasing: Around Britain by Church,British History
The History of the Kings of Britain (Penguin Classics),British History
Mortal Monarchs: 1000 Years of Royal Deaths,British History
Winters in the World: A Journey through the Anglo-Saxon Year,British History
Love and Marriage in the Age of Jane Austen,British History
Overruled: Confronting Our Vanishing Democracy in 8 Cases,British History
The Bone Chests: Unlocking the Secrets of the Anglo-Saxons,British History
"For Her Good Estate: The Life of Elizabeth de Burgh, Lady of Clare",British History
Late Soviet Britain: Why Materialist Utopias Fail,British History
Gentlemen of Uncertain Fortune: How Younger Sons Made Their Way in Jane Austen's England,British History
Storyland: A New Mythology of Britain,British History
Korea: The Unknown War,Cold War
The Coldest Winter,Cold War
The Korean War: An Epic Conflict 1950-1953,Cold War
Brothers at War – The Unending Conflict in Korea,Cold War
"The Korean War: The West Confronts Communism, 1950-1953",Cold War
Collapse: The Fall of the Soviet Union,Cold War
The Last Empire: The Final Days of the Soviet Union,Cold War
The Fall of the Berlin Wall: The Revolutionary Legacy Of 1989,Cold War
The Great Gamble: The Soviet War in Afghanistan,Cold War
The Prague Spring 1968,Cold War
"City Under Siege: The Berlin Blockade and Airlift, 1948-49",Cold War
Iron Curtain: The Crushing of Eastern Europe 1944-56,Cold War
"From World War to Cold War: Churchill, Roosevelt, and the International History of the 1940s",Cold War
The Global Cold War: Third World Interventions and the Making of Our Times,Cold War
The Cold War,Cold War
The Cultural Cold War: The CIA and the World of Arts and Letters,Cold War
Vietnam: A gripping Sunday Times bestselling memoir and political history of the Vietnam conflict,Cold War
"Abyss: World on the Brink, The Cuban Missile Crisis 1962",Cold War
Thirteen Days: A Memoir of the Cuban Missile Crisis,Cold War
"The Dead Hand: Reagan, Gorbachev and the Untold Story of the Cold War Arms Race",Cold War
We Now Know: Rethinking Cold War History,Cold War
Reagan and Gorbachev: How the Cold War Ended,Cold War
"Beyond the Wall: East Germany, 1949-1990",Cold War
"The Berlin Wall: A World Divided, 1961-1989",Cold War
"One Minute To Midnight: Kennedy, Khrushchev and Castro on the Brink of Nuclear War",Cold War
Scotland and the Cold War,Cold War
Costanza,Fiction
Meet Me at the Surface,Fiction
Starling House,Fiction
The Beholders,Fiction
Hester,Fiction
The Mercies,Fiction
Beyond the Wild River,Fiction
The Forgotten Shore,Fiction
The Half of Asperger Syndrome,Fiction
The Awakenings: A sweeping dual-timeline historical novel for fans of Kate Morton,Fiction
History of Cities in Maps: The ultimate visual exploration of human civilisation through 70 captivating historical maps,History (Other)
"Unfortunately, She was a Nymphomaniac",History (Other)
Myths of Geography: Eight Ways We Get the World Wrong,History (Other)
History in Flames: The Destruction and Survival of Medieval Manuscripts,History (Other)
"Poet, Mystic, Widow, Wife: The Extraordinary Lives of Medieval Women",History (Other)
Fall of Civilizations: Stories of Greatness and Decline,History (Other)
"Religion, Death and the Senses",History (Other)
"Women in Power: Classical Myths and Stories, from the Amazons to Cleopatra",History (Other)
Eve: How The Female Body Drove 200 Million Years of Human Evolution,History (Other)
"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",History (Other)
The Rise and Fall of the Dinosaurs: A New History of a Lost World,History (Other)
The Medieval Scriptorium: Making Books in the Middle Ages,History (Other)
The World: A Family History,History (Other)
The Revolt of the Public and the Crisis of Authority in the New Millennium: and the Crisis of Authority in the New Millenium,History (Other)
Pantheon: An Illustrated Handbook to the Greek Gods & Goddesses,History (Other)
History of War in Maps: More than 70 maps from ancient and medieval warfare to modern day conflicts,History (Other)
History of World Trade in Maps,History (Other)
Fear: An Alternative History of the World,History (Other)
"The Ottomans: Khans, Caesars and Caliphs",History (Other)
BY Tom Holland Dominion The Making of the Western Mind,History (Other)
"How the World Made the West: A 4,000-Year History",History (Other)
Lost Languages: The Enigma of the World's Undeciphered Scripts,History (Other)
The First Crusade: The Call from the East,History (Other)
The Origins of Totalitarianism),History (Other)
Way of the World: From the Dawn of Civilizations to the Eve of the Twenty-First Century,History (Other)
A History of the Roman Empire in 21 Women,History (Other)
A History of Islam in 21 Women,History (Other)
The Road: A Story of Romans and Ways to the Past,History (Other)
"Guns, Germs and Steel: A short history of everybody for the last 13,000 years",History (Other)
Upheaval: How Nations Cope with Crisis and Change,History (Other)
"The Horse, the Wheel, and Language: How Bronze-Age Riders from the Eurasian Steppes Shaped the Modern World",History (Other)
Sons of Ishmael: Muslims Through European Eyes in the Middle Ages,History (Other)
The Landmark Thucydides : A Comprehensive Guide to the Peloponnesian War,History (Other)
The Landmark Xenophon’s Anabasis,History (Other)
Salt On Your Tongue: Women and the Sea,History (Other)
Pandora's Jar: Women in the Greek Myths,History (Other)
The Ascent of Money: A Financial History of the World,History (Other)
One Fine Day: Britain's Empire on the Brink,Inter-War Years
"Darkness Falling: The Strange Death of the Weimar Republic, 1930-33",Inter-War Years
"Germany 1923: Hyperinflation, Hitler's Putsch, and Democracy in Crisis",Inter-War Years
Takeover,Inter-War Years
Sing As We Go: Britain Between the Wars,Inter-War Years
The Wild Men: The Remarkable Story of Britain's First Labour Government,Inter-War Years
Women in the Weimar Republic,Inter-War Years
Sex and the Weimar Republic: German Homosexual Emancipation and the Rise of the Nazis,Inter-War Years
After the Romanovs: the extraordinary lives of Russian exiles in Paris between the wars,Inter-War Years
The Weimar Years: Rise and Fall 1918–1933,Inter-War Years
"The Red Army and the Wehrmacht: How the Soviets Militarized Germany, 1922-33, and Paved the Way for Fascism",Inter-War Years
"Securing the World Economy: The Reinvention of the League of Nations, 1920-1946",Inter-War Years
"A Peace to End All Peace, 20th Anniversary Edition: The Fall of the Ottoman Empire and the Creation of the Modern Middle East",Inter-War Years
Cairo 1921: Ten Days that Made the Middle East,Inter-War Years
The Weimar Republic: The Crisis of Classical Modernity,Inter-War Years
"Weimar Germany – Promise and Tragedy, Weimar Centennial Edition",Inter-War Years
"Recasting Bourgeois Europe: Stabilization in France, Germany, and Italy in the Decade after World War I",Inter-War Years
Weimar Germany (Library of 20th Century),Inter-War Years
History of the 36th Ulster Division,"Ireland, NI, and WW1 & 2"
"Northern Ireland in the Second World War: Politics, Economic Mobilisation and Society, 1939–45","Ireland, NI, and WW1 & 2"
"In Time of War: Ireland, Ulster and the Price of Neutrality, 1939-45: Ireland, Ulster and the Price of Neutrality 1939-1945","Ireland, NI, and WW1 & 2"
The American Red Cross in Northern Ireland during the Second World War,"Ireland, NI, and WW1 & 2"
"We Just Got On With It: Changes Before, During and After the Second World War in Northern Ireland","Ireland, NI, and WW1 & 2"
Northern Ireland in the Second World War,"Ireland, NI, and WW1 & 2"
The Emergency: Neutral Ireland 1939-45,"Ireland, NI, and WW1 & 2"
That Neutral Island: A Cultural History of Ireland During the Second World War,"Ireland, NI, and WW1 & 2"
Spying on Ireland: British Intelligence and Irish Neutrality during the Second World War,"Ireland, NI, and WW1 & 2"
"Ireland's Unknown Soldiers: The 16th (Irish) Division in the Great War, 1914-1918","Ireland, NI, and WW1 & 2"
The Irish Regiments in the Great War: Discipline and Morale,"Ireland, NI, and WW1 & 2"
Major-General Oliver Nugent: The Irishman who led the Ulster Division in the Great War,"Ireland, NI, and WW1 & 2"
"A Long Week in March: The 36th (Ulster) Division in the German Spring Offensive, March 1918","Ireland, NI, and WW1 & 2"
Ulster Will Fight: Volume 1 - Home Rule and the Ulster Volunteer Force 1886-1922,"Ireland, NI, and WW1 & 2"
Ulster Will Fight. Volume 2: The 36th (Ulster) Division in training and at war 1914-1918,"Ireland, NI, and WW1 & 2"
Jane Austen: Reflections of a Reader, Literature
Is a River Alive?,Nature
Nature Obscura: A City's Hidden Natural World,Nature
The Naturalist at Home: Projects for Discovering the Hidden World Around Us,Nature
Hummingbirds: A Life-Size Guide to Every Species,Nature
Seahorses: A Life-size Guide to Every Species,Nature
Atlas of Improbable Places: A Journey to the World's Most Unusual Corners,Nature
A Most Remarkable Creature: The Hidden Life of the World's Smartest Birds of Prey,Nature
A Wood of One's Own,Nature
Around the Ocean in 80 Fish and other Sea Life,Nature
Around the World in 80 Birds,Nature
Around the World in 80 Plants,Nature
Deeper Into the Wood,Nature
Barn Owl (Encounters in the Wild),Nature
Kingfisher (Encounters in the Wild),Nature
Badger (Encounters in the Wild),Nature
Skylark (Encounters in the Wild),Nature
Nature's Architect: The Beaver's Return to Our Wild Landscapes,Nature
Reflections: What Wildlife Needs and How to Provide it,Nature
Regenesis: Feeding the World without Devouring the Planet,Nature
"The Flow: Rivers, Water and Wildness",Nature
Cull of the Wild: Killing in the Name of Conservation,Nature
Ghosts in the Hedgerow: A hedghog whodunnit,Nature
Seasons of Storm and Wonder,Nature
Sixty Harvests Left: How to Reach a Nature-Friendly Future,Nature
Tamed: Ten Species that Changed our World,Nature
The Heartbeat of Trees: Embracing Our Ancient Bond With Forests and Nature,Nature
The Secret Network of Nature: The Delicate Balance of All Living Things,Nature
The Hidden World: How Insects Sustain Life on Earth Today and Will Shape Our Lives Tomorrow,Nature
The Nature of Autumn,Nature
The Nature of Spring,Nature
The Nature of Summer,Nature
The Winter Whale,Nature
Where the Wildflowers Grow: Longlisted for the Wainwright Prize,Nature
The Horizontal Oak: A Life in Nature,Nature
The Wisdom of Sheep & Other Animals: Observations from a Family Farm,Nature
"The Lost Flock: Rare Wool, Wild Isles and One Woman’s Journey to Save Scotland’s Original Sheep",Nature
"Ponies At The Edge Of The World: On nature, belonging and finding home",Nature
The Bridleway: How Horses Shaped the British Landscape,Nature
"Infinite Life: a Revolutionary Story of Eggs, Evolution and Life on Earth",Nature
"Extinctions: How Life Survives, Adapts and Evolves",Nature
"Windswept: Life, Nature and Deep Time in the Scottish Highlands",Nature
The Eagle's Way: Nature's New Frontier in a Northern Landscape,Nature
The Private Life of the Hare,Nature
The Glorious Life of the Oak,Nature
The Wild Life of the Fox,Nature
The Soaring Life of the Lark,Nature
Afoot and Lighthearted: A Mindful Walking Log,Nature
An Atlas of Endangered Species,Nature
Tree Stories: How trees plant our world and connect our lives,Nature
The Turning Tide: A Biography of the Irish Sea,Nature
In Search of One Last Song: Britain’s disappearing birds and the people trying to save them,Nature
The Book of Pebbles: From Prehistory to the Pet Shop Boys,Nature
Lapidarium: The Secret Lives of Stones,Nature
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds and Shape Our Futures",Nature
"The Nine Years War, 1593-1603: O'Neill, Mountjoy and the Military Revolution",Irish History
Rebel Women: Cumann na mBan in Belfast and the Glens of Antrim 1914-1924,Irish History
The Trouble We've Seen: Women's Stories from the North of Ireland,Irish History
The Revelation of Ireland: 1995-2020,Irish History
Through Her Eyes: A new history of Ireland in 21 women,Irish History
Milltown Cemetery: The History of Belfast,Irish History
Balmoral Cemetery: The History of Belfast,Irish History
Belfast City Cemetery: The History of Belfast,Irish History
"Tree Dogs, Banshee Fingers and Other Irish Words for Nature",Irish History
Thirty-Two Words for Field: Lost Words of the Irish Landscape,Irish History
Listen to the Land Speak: A Journey into the wisdom of what lies beneath us,Irish History
"Language, Resistance and Revival: Republican Prisoners and the Irish Language in the North of Ireland",Irish History
The Irish Language in Rathlin Island,Irish History
Irish Place Names,Irish History
Belfast: The Story of a City and its People,Irish History
The Scot In Ulster: Sketch Of The History Of The Scottish Population Of Ulster,Irish History
"Ireland, Colonialism, and the Unfinished Revolution",Irish History
The Hounds of Ulster: A History of the Northern Irish Regiments in the Great War,Irish History
The Origins of the Irish,Irish History
A History of Northern Ireland 1920-1996,Irish History
"Ireland 1798-1998: War, Peace and Beyond, 2nd Edition: War, Peace and Beyond",Irish History
Ireland: 1798–1998: Politics and War,Irish History
Modern Ireland 1600-1972,Irish History
Migration in Irish History 1607-2007,Irish History
The Transformation Of Ireland 1900-2000,Irish History
The Princeton History of Modern Ireland,Irish History
Ireland: The Politics of Enmity 1789-2006 (Oxford History of Modern Europe),Irish History
The Cambridge History of Ireland 4 Paperback Volume Set,Irish History
Ireland: A History,Irish History
Kingdoms United?: Ireland and Great Britain from 1500 - Integration and Diversity,Irish History
"Dublin's Great Wars: The First World War, the Easter Rising and the Irish Revolution",Irish History
Flight of the Earls: A Popular History,Irish History
The Band That Played on: The Extraordinary Story of the 8 Musicians Who Went Down with the Titanic,Irish History
On the Edge: Ireland’s off-shore islands: a modern history,Irish History
"Antrim: The Irish Revolution series, 1912-23",Irish History
Early Christian Ireland,Irish History
Historic monuments of Northern Ireland: an introduction and guide,Irish History
In Search of the Irish Dreamtime: Archaeology & Early Irish Literature,Irish History
"Templars, the Witch, and the Wild Irish: Vengeance and Heresy in Medieval Ireland",Irish History
The Oxford Companion to Irish Literature,Irish History
The Plantation of Ulster: Ideology and Practice (Studies in Early Modern Irish History),Irish History
The Plantation of Ulster: The British Colonization of the North of Ireland in the 17th Century,Irish History
"The Plantation of Ulster: British Settlement in an Irish Landscape, 1600-1670",Irish History
"Belfast 400: People, Place and History",Irish History
Society and administration in the Ulster Plantation towns,Irish History
A History of Ireland in 100 Objects,Irish History
At Home in the Revolution: what women said and did in 1916,Irish History
Climate and society in Ireland: from prehistory to the present,Irish History
Death in Irish prehistory,Irish History
"Early Medieval Ireland, AD 400-1100: The evidence from archaeological excavations",Irish History
Ireland's Forgotten Past: A History of the Overlooked and Disremembered,Irish History
The Handover: Dublin Castle and the British withdrawal from Ireland,Irish History
From Partition to Brexit: The Irish Government and Northern Ireland,Irish History
Belfast: A History,Irish History
Europe between Democracy and Dictatorship,Pre-War Years
War Planning 1914,Pre-War Years
"The Fear of Invasion: Strategy, Politics, and British War Planning, 1880-1914",Pre-War Years
The Franco-Prussian War: The German Conquest of France in 1870-1871,Pre-War Years
Bismarck's War: The Franco-Prussian War and the Making of Modern Europe,Pre-War Years
The Guns of August: The Classic Bestselling Account of the Outbreak of the First World War,Pre-War Years
Dance of the Furies: Europe and the Outbreak of World War I,Pre-War Years
The Sleepwalkers: How Europe Went to War in 1914,Pre-War Years
A Mad Catastrophe: The Outbreak of World War I and the Collapse of the Habsburg Empire,Pre-War Years
The Lost History of 1914: Why the Great War Was Not Inevitable,Pre-War Years
Alexander II: King of Scots 1214-1249,Scottish History
"Alexander III, 1249-1286: First Among Equals",Scottish History
David I: The King Who Made Scotland,Scottish History
Where are the Women?: A Guide to an Imagined Scotland,Scottish History
Scottish Medieval Churches: Architecture and Furnishings,Scottish History
Historic Churches of Scotland: an introduction to surviving medieval churches,Scottish History
1314: The Year of Bannockburn,Scottish History
Clash of Crowns: The Battle of Byland 1322: Robert the Bruce’s Forgotten Victory,Scottish History
Áedán of the Gaels: King of the Scots,Scottish History
She is But a Woman: Queenship in Scotland 1424–1463,Scottish History
Women of the Jacobite Rebellions,Scottish History
Unwritten Woman,Scottish History
Under the Hammer: Edward I and Scotland,Scottish History
Walking the Antonine Wall: A Journey from East to West Scotland,Scottish History
Women in Scotland c.1100-c.1750,Scottish History
The Uses of Place-names,Scottish History
Edinburgh: A New History,Scottish History
The Bone Cave: A Journey through Myth and Memory: A Highland Journey through Myth and Memory,Scottish History
The Eagle and the Bear: A New History of Roman Scotland,Scottish History
Brochs of Scotland,Scottish History
"A Mighty Fleet and the King’s Power: The Isle of Man, AD 400 to 1265",Scottish History
Building the Great Stone Circles of the North,Scottish History
Civil War: The War of the Three Kingdoms 1638-1660,Scottish History
Culloden: Great Battles,Scottish History
Life of St Columba (Penguin Classics),Scottish History
Scotland: Mapping the Islands,Scottish History
Scotland: Defending the Nation,Scottish History
Scotland: Mapping the Nation,Scottish History
Scotland's Lost Villages,Scottish History
Scottish Kirkyards,Scottish History
The Covenanter Encyclopaedia,Scottish History
Battles of the Jacobite Rebellions: Killiecrankie to Culloden,Scottish History
Clan Battles: Warfare in the Scottish Highlands,Scottish History
Lords of the Isles: From Viking Warlords to Clan Chiefs,Scottish History
A Sociolinguistic History of Scotland,Scottish History
From Chiefs to Landlords: Social and Economic Change in the Western Highlands & Islands,Scottish History
Divided Gaels: Gaelic Cultural Identities in Scotland and Ireland 1200-1650,Scottish History
A Portrait Gallery For Scotland,Scottish History
"The Last Highlander: Scotland’s Most Notorious Clan Chief, Rebel & Double Agent",Scottish History
The Highlands and Islands of Scotland: A New History,Scottish History
The Sea Kings: The Late Norse Kingdoms of Man and the Isles c.1066–1275,Scottish History
The Development of Neolithic House Societies in Orkney,Scottish History
H-Block International: The Worldwide Reaction to The 1981 Irish Hunger Strike,Troubles
The Puppet Masters: How MI6 Masterminded Ireland's Deepest State Crisis,Troubles
Reporting the Troubles: Journalists tell their stories of the Northern Ireland conflict,Troubles
A Force Like No Other: The Last Shift: The Final Selection of Real Stories from the Ruc Men and Women Who Policed the Troubles,Troubles
Brokering the Good Friday Agreement: The Untold Story,Troubles
Bandit Country: The IRA and South Armagh,Troubles
Agents of Influence: Britain’s Secret Intelligence War Against the IRA,Troubles
Death in the Fields: The IRA and East Tyrone,Troubles
We Don't Know Ourselves: A Personal History of Ireland Since 1958,Troubles
Fishers of Men,Troubles
The Disappeared: Forced Disappearances in Ireland 1798 - 1998,Troubles
Killing Thatcher,Troubles
Secret Victory: The Intelligence War that beat the IRA,Troubles
The Informer,Troubles
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Troubles
Loyalists,Troubles
Brits: The War Against the IRA,Troubles
Black Operations: The Secret War Against the Real IRA,Troubles
Armed Struggle: The History of the IRA,Troubles
Northern Ireland: Conflict and Change,Troubles
Drawing Support 3,Troubles
Drawing Support 4,Troubles
Drawing Support 1,Troubles
Drawing Support 5,Troubles
Children of the Revolution: The Lives of Sons and Daughters of Activists in Northern Ireland,Troubles
Blanketmen: An Untold Story of the H-Block Hunger Strike,Troubles
Voices from the Grave: Two Men's War in Ireland,Troubles
Northern Ireland: The Fragile Peace,Troubles
The Eastern Front: A History of the First World War,WW1
The Unquiet Western Front: Britain's Role in Literature and History,WW1
"Castles Of Steel: Britain, Germany and the Winning of The Great War at Sea",WW1
"Dreadnought: Britain,Germany and the Coming of the Great War",WW1
Ireland and the Great War,WW1
Ring of Steel: Germany and Austria-Hungary at War,WW1
The Grand Fleet 1914-19: The Royal Navy in the First World War,WW1
The Great War and Modern Memory,WW1
The Pity of War: 1914 - 1918,WW1
At War with the 16th Irish Division 1914-1918: The Staniforth Letters,WW1
The Deluge: The Great War and the Remaking of Global Order 1916-1931,WW1
"The Longest Campaign: Britain's Maritime Struggle in the Atlantic and Northwest Europe, 1939-1945",WW2
"A Woman of No Importance: The Untold Story of Virginia Hall, WWII's Most Dangerous Spy",WW2
Churchill's Citadel: Chartwell and the Gatherings Before the Storm,WW2
Hitler's People: The Faces of the Third Reich,WW2
The Irish in the Resistance: The Untold Stories of the Ordinary Heroes who Resisted Hitler,WW2
World War II: Infographics,WW2
A History of the Second World War in 100 Maps,WW2
The Hitler Years ~ Disaster 1940-1945,WW2
Tigers in the Mud: The Combat Career of German Panzer Commander Otto Carius,WW2
Overlord: D-Day and the Battle for Normandy 1944,WW2
The Storm of War: A New History of the Second World War,WW2
The Berlin Bunker,WW2
Asperger's Children: The Origins of Autism in Nazi Vienna,WW2
Delivered from Evil: Saga of World War Two,WW2
Killing the Bismarck: Destroying the Pride of Hitler's Fleet: Destroying the Pride of Hitler's Fleet,WW2
The Holocaust: An Unfinished History (Pelican Books),WW2
Rise And Fall Of The Third Reich,WW2
The Coming of the Third Reich: How the Nazis Destroyed Democracy and Seized Power in Germany,WW2
"The Third Reich in Power, 1933 - 1939: How the Nazis Won Over the Hearts and Minds of a Nation",WW2
The Third Reich at War: How the Nazis Led Germany from Conquest to Disaster,WW2
Brothers in Arms: One Legendary Tank Regiment's Bloody War from D-Day to VE-Day,WW2
Big Week: The Biggest Air Battle of World War Two,WW2
The Battle of Britain,WW2
Dam Busters: The Race to Smash the Dams,WW2
Normandy 44: D-Day and the Battle for France,WW2
The Storm of War: A New History of the Second World War,WW2
Sicily '43: A Times Book of the Year,WW2
Overlord: D-Day and the Battle for Normandy,WW2
"Das Reich: The March of the 2nd SS Panzer Division Through France, June 1944",WW2
Operation Pedestal: A Times Book of the Year 2021,WW2
Operation Biting,WW2
The Resistance: The French Fight Against the Nazis,WW2
The Crisis of German Ideology: Intellectual Origins of the Third Reich,WW2
Northern Ireland: A Journey,Travel
The Viking Isles,Travel
The Scottish Islands,Travel
